12278	 1264985129	 380.282479	 352.661237
12611	 1269000258	 374.577383	 351.924361
12917	 1274129009	 377.589032	 353.081950
14039	 1284289512	 373.338219	 347.282494
14176	 1286045426	 376.686713	 322.390994
14420	 1288476026	 375.758954	 328.078918
14577	 1290715135	 360.752927	 340.432880
14795	 1293194957	 352.720633	 335.761480
15109	 1298242854	 356.097613	 341.741820
15300	 1298221220	 357.899122	 340.562499
15630	 1303016227	 357.451738	 340.770882
16086	 1309624180	 357.702693	 336.884584
16186	 1309604617	 368.236118	 342.845347
16284	 1310933813	 354.381359	 336.091541
16432	 1313560486	 369.314665	 344.267557
16551	 1324411655	 366.422767	 342.044112
16923	 1324154833	 364.095663	 341.137742
17042	 1324371222	 359.333459	 334.244596
17704	 1332514906	 345.530018	 328.179869
17883	 1332548114	 337.837215	 318.029742
18183	 1335451238	 324.833243	 317.641183
18447	 1338184145	 320.201955	 303.490039
18476	 1338184145	 307.373144	 303.490039
18510	 1338737011	 310.417345	 303.490039
18518	 1338866481	 311.885362	 303.490039
18593	 1340762154	 303.776033	 303.490039
18748	 1344625562	 323.042301	 305.088416
